length_of_stay_days,pet_type,pet_age,size,shedding,coat_length,temperament,breed_type,adoption_fee,gender,is_mix,shots_up_to_date,spayed_neutered,hypoallergenic,housebroken,special_need,gets_along_with_cats,gets_along_with_dogs,gets_along_with_kids,courtesy_post,cross_post,litter,parent_of_litter,primary_breed,secondary_breed,third_breed,fourth_breed,bully_breed,popular_breed,bonded_pair,age_total_months,sentiment_score,record_type,subtype,had_medical
10,dog,adult,medium,nan,nan,nan,nan,350,female,yes,yes,yes,no,yes,not sure,not sure,no,yes,yes,no,no,no,vizsla,,,,no,no,no,66.0,0.0,,,no
71,dog,adult,medium,nan,nan,nan,nan,300,female,yes,yes,yes,no,not sure,yes,yes,yes,yes,yes,no,no,no,bluetick coonhound,,,,no,no,no,114.0,0.0,,,no
107,dog,puppy,medium,nan,nan,nan,nan,400,female,yes,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,boxer,pit bull terrier,,,no,no,no,44.0,0.0,,,no
14,dog,puppy,medium,nan,nan,nan,nan,400,female,nan,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,pit bull terrier,,,,no,no,no,58.0,0.0,,,no
861,dog,adult,large,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,not sure,no,yes,no,no,no,no,no,german shepherd dog,,,,no,no,no,138.0,0.0,,,no
12,dog,puppy,small,nan,nan,nan,nan,450,female,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,jack russell terrier,,,,no,no,no,68.0,0.0,,,no
95,dog,adult,medium,nan,nan,nan,nan,400,female,yes,yes,yes,no,yes,not sure,not sure,yes,not sure,no,no,no,no,american staffordshire terrier,,,,yes,no,no,68.0,0.0,"medications, medications, medications",,yes
25,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,yes,no,border collie,pit bull terrier,,,no,no,no,46.0,0.0,,,no
22,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,not sure,no,no,not sure,not sure,yes,yes,no,no,yes,no,border collie,pit bull terrier,,,no,no,no,46.0,0.0,,,no
27,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,not sure,no,no,not sure,not sure,yes,yes,no,no,yes,no,border collie,pit bull terrier,,,no,no,no,46.0,0.0,,,no
22,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,not sure,no,no,not sure,not sure,yes,yes,no,no,yes,no,border collie,pit bull terrier,,,no,no,no,46.0,0.0,,,no
25,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,not sure,no,no,not sure,not sure,yes,yes,no,no,yes,no,border collie,pit bull terrier,,,no,no,no,46.0,0.0,,,no
27,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,yes,no,border collie,pit bull terrier,,,no,no,no,46.0,0.0,,,no
26,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,no,not sure,not sure,yes,yes,no,no,yes,no,border collie,pit bull terrier,,,no,no,no,46.0,0.0,,,no
13,dog,young,large,sheds a little,nan,nan,nan,550,male,no,yes,yes,no,yes,not sure,not sure,yes,yes,no,no,no,no,poodle (standard),,,,no,no,no,29.0,0.0,,,no
27,dog,young,small,nan,nan,nan,nan,650,male,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,no,no,no,chihuahua,pomeranian,,,no,no,yes,56.0,0.0,,,no
111,dog,puppy,small,not available,short,nan,mixed,450,male,yes,yes,no,not sure,no,not sure,not sure,yes,not sure,no,no,no,no,yorkshire terrier,terrier (unknown type,,,no,yes,no,88.0,0.0,,,no
289,dog,young,medium,nan,nan,nan,nan,350,female,yes,yes,yes,no,yes,no,not sure,not sure,yes,no,no,no,no,pit bull terrier,,,,no,no,no,86.0,0.0,surgery/procedures,,yes
0,dog,adult,small,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,jack russell terrier,,,,no,no,no,101.0,0.0,,,no
13,dog,puppy,small,nan,nan,nan,nan,350,female,yes,yes,not sure,no,no,not sure,yes,yes,not sure,no,no,no,no,miniature pinscher,,,,no,no,no,47.0,0.0,,,no
158,dog,adult,small,nan,nan,nan,nan,465,female,no,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,no,no,no,no,yorkshire terrier,,,,no,yes,no,88.0,0.0,medications,,yes
16,dog,adult,small,no shedding,short,nan,purebreed,375,female,no,yes,yes,yes,yes,not sure,not sure,yes,not sure,no,no,no,no,poodle (miniature),,,,no,no,no,130.0,0.0,,,no
29,dog,puppy,small,nan,nan,nan,nan,350,female,yes,yes,yes,no,not sure,not sure,yes,yes,yes,no,no,no,no,rat terrier,,,,no,no,no,84.0,0.0,,,no
55,dog,young,small,nan,nan,nan,nan,400,female,no,yes,yes,yes,not sure,not sure,not sure,yes,not sure,no,no,no,no,maltese,,,,no,no,no,97.0,0.0,,,no
13,dog,puppy,small,nan,nan,nan,nan,500,female,no,yes,no,yes,no,not sure,no,yes,no,no,no,yes,no,maltese,,,,no,no,no,74.0,0.0,,,no
51,dog,puppy,small,nan,nan,nan,nan,500,female,no,yes,no,yes,no,not sure,no,yes,no,no,no,yes,no,maltese,,,,no,no,no,74.0,0.0,,,no
6,dog,puppy,medium,nan,nan,loves to play,nan,nan,female,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,border collie,lab/border collie,,,no,no,no,39.0,0.0,,,no
69,dog,young,medium,nan,nan,nan,nan,365,female,yes,not sure,yes,not sure,yes,not sure,yes,yes,no,no,no,no,no,border collie,pit bull terrier,,,no,no,no,38.0,0.0,"medications, medications",,yes
46,dog,young,small,nan,nan,nan,nan,nan,male,yes,yes,yes,no,not sure,not sure,yes,yes,yes,no,no,no,no,chihuahua,dachshund,,,no,yes,no,,0.0,medications,other,yes
8,dog,puppy,small,nan,nan,nan,nan,450,female,yes,yes,yes,no,not sure,no,not sure,not sure,yes,no,no,no,no,papillon,chihuahua,,,no,no,no,55.0,0.0,,,no
25,dog,adult,small,nan,nan,nan,nan,450,male,yes,yes,yes,no,not sure,yes,not sure,no,yes,no,no,no,no,chihuahua,papillon,,,no,no,no,67.0,0.0,,,no
8,dog,puppy,nan,sheds a little,nan,nan,nan,450,male,yes,yes,yes,no,not sure,no,not sure,not sure,not sure,no,no,yes,no,australian cattle dog,31 flavors mixes,,,no,no,no,37.0,0.0,,,no
56,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,not sure,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,australian cattle dog,,,,no,no,no,37.0,0.0,,,no
56,dog,puppy,nan,nan,nan,nan,nan,450,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,australian cattle dog,,,,no,no,no,37.0,0.0,,,no
56,dog,puppy,nan,nan,nan,nan,nan,450,female,yes,not sure,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,australian cattle dog,,,,no,no,no,37.0,0.0,,,no
62,dog,puppy,nan,nan,nan,nan,nan,450,female,yes,no,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,australian cattle dog,,,,no,no,no,37.0,0.0,,,no
57,dog,puppy,nan,nan,nan,nan,nan,450,female,yes,not sure,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,australian cattle dog,,,,no,no,no,37.0,0.0,,,no
56,dog,puppy,nan,nan,nan,nan,nan,450,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,australian cattle dog,,,,no,no,no,37.0,0.0,,,no
0,dog,young,small,not available,short,nan,mixed,425,female,no,yes,yes,not sure,yes,no,not sure,not sure,not sure,no,no,no,no,chihuahua,,,,no,no,no,97.0,0.0,,,no
55,dog,young,medium,sheds a little,nan,nan,nan,nan,female,yes,not sure,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,no,pit bull terrier,pointer,,,no,no,no,,0.0,"medications, medications",,yes
47,dog,adult,small,nan,nan,nan,nan,300,male,no,yes,yes,yes,not sure,no,not sure,yes,not sure,no,no,no,no,maltese,,,,no,no,no,124.0,0.0,,,no
61,dog,adult,small,nan,nan,nan,nan,350,male,no,yes,yes,yes,not sure,yes,not sure,yes,yes,no,no,no,no,toy poodle,,,,no,no,no,102.0,0.0,,,no
17,dog,young,small,nan,nan,nan,nan,nan,female,no,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,poodles (all types),,,,no,no,no,,0.0,,,no
273,dog,senior,medium,nan,nan,nan,nan,200,female,yes,yes,yes,no,yes,not sure,no,no,no,no,no,no,no,german shepherd dog,,,,no,no,no,140.0,0.0,diagnosis,,yes
11,dog,puppy,large,nan,nan,nan,nan,450,male,yes,yes,yes,no,yes,yes,not sure,yes,yes,no,no,no,no,border collie,,,,no,no,no,,0.0,,,no
27,dog,puppy,medium,sheds a lot,short,nan,purebreed,450,male,no,yes,yes,no,not sure,not sure,not sure,yes,yes,no,no,no,no,other,,,,no,no,no,97.0,0.0,surgery/procedures,medications,yes
419,dog,senior,small,no shedding,nan,nan,nan,325,male,no,yes,yes,not sure,not sure,yes,yes,yes,yes,no,no,no,no,yorkshire terrier,,,,no,yes,no,115.0,0.0,"medications, medications",,yes
13,dog,puppy,medium,sheds a little,nan,nan,nan,615,male,nan,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,no,no,no,no,goldendoodle,,,,no,no,no,14.0,0.0,,,no
135,dog,adult,large,nan,nan,nan,nan,315,male,yes,yes,yes,no,yes,not sure,not sure,yes,no,yes,no,no,no,collie,shepherds (all types),,,no,no,no,114.0,0.0,,,no
34,dog,young,small,sheds a little,medium,nan,mixed,400,male,yes,yes,yes,not sure,not sure,not sure,not sure,yes,not sure,no,no,no,no,papillon,,,,no,no,no,119.0,0.0,,,no
14,dog,senior,small,sheds a little,nan,nan,nan,550,male,nan,yes,yes,no,yes,not sure,not sure,yes,yes,no,no,no,no,pomeranian,,,,no,no,yes,128.0,0.0,surgery/procedures,dental prophylaxis,yes
21,dog,senior,small,nan,nan,nan,nan,300,male,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,pomeranian,poodle (toy or tea cup),,,no,no,no,206.0,0.0,,,no
32,dog,young,small,nan,nan,nan,nan,475,male,no,yes,yes,yes,not sure,no,not sure,yes,not sure,no,no,no,no,shih tzu,,,,no,no,no,78.0,0.0,,,no
815,dog,adult,medium,nan,nan,nan,nan,150,male,yes,yes,yes,no,yes,not sure,no,no,no,no,no,no,no,german shepherd dog,belgian malinois,,,no,no,no,103.0,0.0,"medications, medications, medications",,yes
56,dog,senior,small,sheds a little,nan,nan,nan,400,male,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,chihuahua,dachshund,,,no,yes,no,151.0,0.0,"medications, medications, surgery/procedures",other,yes
231,dog,adult,small,nan,nan,nan,nan,715,male,no,yes,yes,not sure,yes,not sure,no,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,53.0,0.0,,,no
32,dog,adult,small,no shedding,nan,nan,nan,800,male,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,poodles (all types),coton de tulear,,,no,no,yes,81.0,0.0,,,no
37,dog,young,small,nan,nan,nan,nan,465,male,nan,yes,yes,not sure,yes,not sure,not sure,not sure,not sure,no,no,no,no,lhasa apso,,,,no,no,no,23.0,0.0,,,no
46,dog,adult,medium,nan,nan,nan,nan,350,male,no,yes,yes,no,yes,yes,not sure,yes,no,no,no,no,no,australian shepherd,,,,no,no,no,69.0,0.0,,,no
39,dog,young,small,nan,nan,nan,nan,365,male,no,yes,yes,not sure,yes,not sure,yes,yes,no,yes,no,no,no,shih tzu,,,,no,no,no,37.0,0.0,,,no
16,dog,young,small,nan,medium,nan,mixed,600,male,yes,yes,yes,yes,yes,not sure,not sure,yes,yes,yes,no,no,no,havanese,poodle (miniature),,,no,no,yes,105.0,0.0,,,no
24,dog,adult,small,nan,nan,nan,nan,350,male,yes,yes,yes,not sure,not sure,not sure,yes,yes,yes,no,no,no,no,poodle (miniature),pomeranian,,,no,no,no,,0.0,,,no
94,dog,senior,small,nan,nan,nan,nan,250,male,yes,yes,yes,not sure,not sure,yes,not sure,yes,yes,no,no,no,no,silky terrier,,,,no,no,no,,0.0,surgery/procedures,dental prophylaxis,yes
127,dog,adult,small,nan,nan,nan,nan,nan,male,no,yes,yes,yes,yes,not sure,not sure,yes,yes,no,no,no,no,yorkshire terrier,,,,no,yes,no,112.0,0.0,,,no
20,dog,young,medium,nan,nan,nan,nan,350,female,yes,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,pit bull terrier,,,,no,no,no,77.0,0.0,,,no
61,dog,adult,small,no shedding,nan,nan,nan,465,female,yes,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,no,no,no,no,shih tzu,yorkie,,,no,no,no,59.0,0.0,medications,,yes
66,dog,young,medium,nan,nan,nan,nan,400,female,yes,not sure,yes,no,yes,not sure,not sure,yes,not sure,no,no,no,no,german shepherd dog,australian cattle dog,,,no,no,no,,0.0,,,no
44,dog,senior,small,nan,nan,nan,nan,530,female,nan,yes,yes,not sure,yes,not sure,not sure,not sure,not sure,yes,no,no,no,yorkshire terrier,,,,no,yes,yes,169.0,0.0,"surgery/procedures, surgery/procedures","dental prophylaxis, mass removal",yes
32,dog,adult,medium,nan,nan,nan,nan,350,female,yes,yes,yes,no,yes,yes,no,yes,not sure,yes,no,no,no,vizsla,pit bull terrier,,,no,no,no,111.0,0.0,diagnosis,,yes
99,dog,adult,large,nan,nan,nan,nan,300,male,yes,yes,yes,no,yes,not sure,not sure,yes,not sure,no,no,no,no,german shepherd dog,,,,no,no,no,,0.0,,,no
90,dog,young,medium,nan,nan,nan,nan,350,female,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,boxer,pit bull terrier,,,no,no,no,50.0,0.0,,,no
55,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,pit bull terrier,,,no,no,no,32.0,0.0,surgery/procedures,other,yes
54,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,pit bull terrier,,,no,no,no,32.0,0.0,,,no
53,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,no,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,pit bull terrier,,,no,no,no,32.0,0.0,,,no
40,dog,puppy,medium,sheds a little,nan,nan,nan,450,male,yes,yes,no,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,pit bull terrier,,,no,no,no,32.0,0.0,,,no
53,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,no,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,pit bull terrier,,,no,no,no,32.0,0.0,,,no
53,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,boxer,pit bull terrier,,,no,no,no,32.0,0.0,,,no
21,dog,puppy,small,nan,nan,nan,nan,nan,female,yes,yes,yes,no,yes,not sure,not sure,yes,yes,no,no,no,no,chihuahua,terrier (unknown type,,,no,no,no,93.0,0.0,,,no
18,dog,adult,small,nan,nan,nan,nan,450,male,yes,yes,yes,yes,yes,not sure,not sure,yes,yes,no,no,no,no,havanese,,,,no,no,no,84.0,0.0,,,no
226,dog,young,large,sheds a lot,nan,nan,nan,415,male,yes,yes,yes,no,not sure,not sure,not sure,yes,not sure,no,no,no,no,german shepherd dog,,,,no,no,no,24.0,0.0,"medications, medications",,yes
6,dog,puppy,medium,not available,short,nan,mixed,500,male,yes,yes,yes,yes,no,not sure,not sure,yes,yes,no,no,no,no,golden retriever,poodle (standard),goldendoodle,,no,yes,no,89.0,0.0,,,no
12,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,no,no,no,not sure,not sure,yes,yes,no,no,no,no,pit bull terrier,husky,,,no,no,no,42.0,0.0,,,no
11,dog,puppy,small,no shedding,nan,nan,nan,665,female,no,yes,yes,yes,yes,no,not sure,not sure,not sure,no,no,no,no,havanese,,,,no,no,no,25.0,0.0,,,no
16,dog,nan,medium,sheds a little,nan,nan,nan,465,female,yes,yes,not sure,no,yes,no,yes,yes,yes,no,no,no,no,schnauzer (standard),brittany,,,no,no,no,35.0,0.0,,,no
303,dog,senior,medium,nan,nan,nan,nan,250,female,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,179.0,0.0,,,no
33,dog,senior,small,nan,nan,nan,nan,300,female,yes,yes,yes,yes,yes,no,not sure,yes,yes,no,no,no,no,maltese,poodle (miniature),,,no,no,no,166.0,0.0,,,no
73,dog,young,large,nan,nan,nan,nan,365,female,no,yes,yes,no,yes,not sure,yes,yes,yes,yes,no,no,no,belgian malinois,german shepherd dog,,,no,no,no,36.0,0.0,,,no
319,dog,adult,large,nan,nan,nan,nan,150,female,no,yes,yes,no,yes,not sure,no,not sure,not sure,no,no,no,no,german shepherd dog,,,,no,no,no,,0.0,,,no
23,dog,adult,small,nan,nan,nan,nan,565,male,yes,yes,yes,not sure,not sure,not sure,yes,yes,no,no,no,no,no,chihuahua,bichon frise,,,no,no,no,55.0,0.0,,,no
16,dog,senior,small,nan,nan,nan,nan,250,male,yes,yes,yes,yes,yes,not sure,not sure,yes,not sure,no,no,no,no,yorkshire terrier,poodle (toy or tea cup),,,no,yes,no,154.0,0.0,,,no
66,dog,adult,small,nan,nan,nan,nan,300,male,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,jack russell terrier,,,,no,no,no,113.0,0.0,,,no
48,dog,adult,small,nan,nan,nan,nan,350,female,no,yes,yes,yes,not sure,not sure,not sure,yes,not sure,no,no,no,no,maltese,,,,no,no,no,164.0,0.0,surgery/procedures,dental prophylaxis,yes
59,dog,puppy,small,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,pit bull terrier,,,,no,no,no,35.0,0.0,,,no
59,dog,puppy,small,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,pit bull terrier,,,,no,no,no,35.0,0.0,,,no
68,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,american staffordshire terrier,labrador retriever,,,yes,yes,no,35.0,0.0,,,no
93,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,american staffordshire terrier,labrador retriever,,,yes,yes,no,35.0,0.0,,,no
59,dog,puppy,small,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,pit bull terrier,,,,no,no,no,35.0,0.0,,,no
58,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,pit bull terrier,,,,no,no,no,35.0,0.0,,,no
78,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,american staffordshire terrier,labrador retriever,,,yes,yes,no,35.0,0.0,,,no
94,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,yes,no,no,not sure,not sure,not sure,not sure,no,no,yes,no,american staffordshire terrier,labrador retriever,,,yes,yes,no,35.0,0.0,,,no
12,dog,adult,small,nan,nan,nan,nan,400,female,no,yes,yes,no,yes,not sure,not sure,not sure,not sure,no,no,no,no,australian shepherd,,,,no,no,no,73.0,0.0,,,no
61,dog,senior,small,sheds a little,nan,nan,nan,350,female,yes,yes,yes,no,not sure,yes,not sure,yes,yes,no,no,no,no,yorkshire terrier,shih tzu,,,no,yes,no,113.0,0.0,"medications, surgery/procedures, surgery/procedures","other, mass removal",yes
26,dog,senior,small,nan,nan,nan,nan,250,female,no,yes,yes,no,yes,not sure,yes,yes,not sure,no,no,no,no,dachshund,,,,no,yes,no,214.0,0.0,surgery/procedures,dental prophylaxis,yes
31,dog,adult,small,nan,nan,nan,nan,365,female,no,yes,yes,not sure,no,not sure,not sure,not sure,not sure,no,no,no,no,yorkshire terrier,,,,no,yes,no,97.0,0.0,"surgery/procedures, surgery/procedures, diagnosis","dental prophylaxis, microchip implantation",yes
16,dog,senior,small,nan,nan,nan,nan,150,male,yes,yes,yes,yes,no,not sure,not sure,yes,not sure,no,no,no,no,yorkshire terrier,maltese,,,no,yes,no,186.0,0.0,,,no
12,dog,adult,small,nan,nan,nan,nan,565,male,no,yes,yes,not sure,yes,not sure,yes,yes,yes,no,no,no,no,boston terrier,,,,yes,no,no,69.0,0.0,,,no
184,dog,young,medium,nan,nan,good with dogs and people,nan,400,male,yes,yes,yes,not sure,yes,not sure,not sure,yes,yes,no,no,no,no,australian cattle dog,,,,no,no,no,31.0,0.7,,,no
59,dog,puppy,small,sheds a little,nan,nan,nan,600,male,no,yes,no,no,not sure,not sure,yes,yes,yes,no,no,no,no,shih tzu,,,,no,no,no,,0.0,,,no
13,dog,senior,small,sheds a little,nan,nan,nan,350,male,yes,yes,yes,no,yes,not sure,not sure,not sure,yes,yes,no,no,no,pomeranian,,,,no,no,no,93.0,0.0,,,no
8,dog,puppy,small,sheds a little,short,nan,purebreed,475,male,no,yes,no,no,no,not sure,not sure,yes,not sure,no,no,no,no,boston terrier,,,,yes,no,no,97.0,0.0,,,no
14,dog,young,large,nan,nan,nan,nan,500,male,yes,yes,yes,not sure,yes,not sure,not sure,yes,not sure,no,no,no,no,poodle (standard),,,,no,no,no,51.0,0.0,,,no
124,dog,puppy,large,sheds a lot,nan,nan,nan,415,female,no,yes,yes,not sure,not sure,not sure,not sure,yes,not sure,no,no,no,no,german shepherd dog,,,,no,no,no,20.0,0.0,,,no
10,dog,young,medium,nan,nan,nan,nan,350,female,yes,yes,yes,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,australian cattle dog,,,,no,no,no,57.0,0.0,diagnosis,,yes
97,dog,senior,small,sheds a little,nan,nan,nan,530,female,nan,yes,yes,yes,yes,not sure,yes,yes,yes,no,no,no,no,toy poodle,,,,no,no,yes,151.0,0.0,,,no
53,dog,adult,small,sheds a little,short,nan,purebreed,350,female,no,yes,yes,no,yes,not sure,no,yes,yes,no,no,no,no,miniature pinscher,,,,no,no,no,135.0,0.0,"medications, surgery/procedures"," office visit, dental prophylaxis",yes
51,dog,puppy,small,nan,nan,nan,nan,750,female,nan,yes,yes,not sure,no,not sure,not sure,not sure,yes,no,no,no,no,maltese,,,,no,no,no,,0.0,,,no
62,dog,adult,small,nan,nan,nan,nan,350,female,yes,yes,yes,not sure,not sure,not sure,not sure,yes,yes,no,no,no,no,yorkshire terrier,,,,no,yes,no,,0.0,surgery/procedures,dental prophylaxis,yes
17,dog,adult,small,nan,nan,nan,nan,450,female,no,yes,yes,yes,yes,no,not sure,yes,no,no,no,no,no,yorkshire terrier,,,,no,yes,no,133.0,0.0,,,no
221,dog,puppy,small,nan,nan,nan,nan,425,female,yes,yes,yes,no,no,not sure,yes,yes,yes,no,no,no,no,chihuahua,dachshund,,,no,yes,no,87.0,0.0,,,no
23,dog,young,medium,sheds a little,nan,nan,nan,415,female,yes,yes,yes,not sure,yes,not sure,yes,yes,yes,no,no,no,no,black mouth cur,,,,no,no,no,36.0,0.0,"surgery/procedures, surgery/procedures","microchip implantation, other",yes
19,dog,young,large,nan,nan,nan,nan,350,female,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,german shepherd dog,,,,no,no,no,78.0,0.0,,,no
69,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,no,no,no,not sure,yes,yes,yes,no,no,yes,no,31 flavors mixes,,,,no,no,no,70.0,0.0,,,no
38,dog,puppy,small,nan,nan,nan,nan,450,female,yes,yes,no,no,no,not sure,yes,yes,yes,no,no,yes,no,31 flavors mixes,,,,no,no,no,70.0,0.0,,,no
55,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,no,no,no,not sure,yes,yes,yes,no,no,yes,no,31 flavors mixes,,,,no,no,no,70.0,0.0,,,no
43,dog,puppy,small,nan,nan,nan,nan,450,male,yes,yes,no,no,no,not sure,yes,yes,yes,no,no,yes,no,31 flavors mixes,,,,no,no,no,70.0,0.0,,,no
65,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,no,no,no,not sure,yes,yes,yes,no,no,yes,no,31 flavors mixes,,,,no,no,no,70.0,0.0,,,no
27,dog,puppy,small,nan,nan,nan,nan,450,male,yes,yes,no,no,no,not sure,yes,yes,yes,no,no,yes,no,31 flavors mixes,,,,no,no,no,70.0,0.0,,,no
42,dog,puppy,small,nan,nan,nan,nan,450,female,yes,yes,no,no,no,not sure,yes,yes,yes,no,no,yes,no,31 flavors mixes,,,,no,no,no,70.0,0.0,,,no
21,dog,puppy,small,nan,nan,nan,nan,450,male,yes,yes,no,no,no,not sure,yes,yes,yes,no,no,yes,no,31 flavors mixes,,,,no,no,no,70.0,0.0,,,no
31,dog,nan,medium,nan,nan,nan,nan,450,female,yes,yes,not sure,no,no,not sure,not sure,not sure,not sure,no,no,no,no,boxer,bulldog,,,no,yes,no,56.0,0.0,medications,,yes
52,dog,puppy,medium,nan,nan,nan,nan,450,female,yes,yes,not sure,no,no,not sure,not sure,not sure,not sure,no,no,no,no,boxer,bulldog,,,no,yes,no,56.0,0.0,medications,,yes
17,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,not sure,no,no,not sure,not sure,not sure,not sure,no,no,no,no,boxer,bulldog,,,no,yes,no,56.0,0.0,medications,,yes
31,dog,puppy,medium,nan,nan,nan,nan,450,male,yes,yes,not sure,no,no,not sure,not sure,not sure,not sure,no,no,no,no,boxer,bulldog,,,no,yes,no,,0.0,medications,,yes
45,dog,young,medium,sheds a little,nan,nan,nan,400,female,yes,yes,yes,no,not sure,not sure,not sure,yes,yes,no,no,no,no,jack russell terrier,shar pei,,,no,no,no,83.0,0.0,,,no
66,dog,senior,small,nan,nan,nan,nan,350,male,nan,yes,yes,no,no,no,yes,yes,no,no,no,no,no,pomeranian,,,,no,no,no,132.0,0.0,,,no
113,dog,senior,small,nan,nan,nan,nan,250,female,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,chihuahua,,,,no,no,no,213.0,0.0,medications,other,yes
104,dog,adult,medium,nan,nan,nan,nan,300,female,yes,yes,yes,no,yes,yes,not sure,yes,yes,no,no,no,no,beagle,,,,no,yes,no,107.0,0.0,,,no
98,dog,adult,small,nan,nan,nan,nan,200,male,no,yes,yes,no,yes,not sure,not sure,yes,no,no,no,no,no,chinese crested,,,,no,no,no,,0.0,,,no
27,dog,young,x-large,nan,nan,nan,nan,450,male,no,yes,yes,no,yes,no,not sure,yes,yes,no,no,no,no,st. bernard,,,,no,no,no,94.0,0.0,,,no
0,dog,adult,small,nan,medium,nan,purebreed,400,male,no,yes,yes,no,yes,not sure,not sure,not sure,not sure,no,no,no,no,chinese crested,,,,no,no,no,142.0,0.0,,,no
3,dog,young,large,nan,nan,nan,nan,450,female,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,boxer,,,,no,no,no,36.0,0.0,,,no
11,dog,puppy,small,sheds a little,nan,nan,nan,515,male,yes,yes,yes,no,not sure,not sure,not sure,yes,yes,no,no,no,no,pomeranian,yorkie,,,no,no,no,17.0,0.0,,,no
32,dog,adult,small,not available,short,nan,purebreed,nan,female,no,no,no,not sure,yes,no,not sure,not sure,not sure,no,no,no,no,pomeranian,,,,no,no,no,97.0,0.0,,,no
